income,tax,rate
100,1.0,1.0
5100,103.0,2.02
200,2.0,1.0
5200,107.0,2.058
300,3.0,1.0
5300,111.0,2.094
400,4.0,1.0
5400,115.0,2.13
500,5.0,1.0
5500,119.0,2.164
600,6.0,1.0
5600,123.0,2.196
700,7.0,1.0
5700,127.0,2.228
800,8.0,1.0
5800,131.0,2.259
900,9.0,1.0
5900,135.0,2.288
1000,10.0,1.0
6000,139.0,2.317
1100,11.0,1.0
6100,143.0,2.344
1200,12.0,1.0
6200,147.0,2.371
1300,13.0,1.0
6300,151.0,2.397
1400,14.0,1.0
6400,155.0,2.422
1500,15.0,1.0
6500,159.0,2.446
1600,16.0,1.0
6600,163.0,2.47
1700,18.0,1.059
6700,167.0,2.493
1800,20.0,1.111
6800,171.0,2.515
1900,22.0,1.158
6900,175.0,2.536
2000,24.0,1.2
7000,179.0,2.557
2100,26.0,1.238
7100,183.0,2.577
2200,28.0,1.273
7200,187.0,2.597
2300,30.0,1.304
7300,191.0,2.616
2400,32.0,1.333
7400,195.0,2.635
2500,34.0,1.36
7500,199.0,2.653
2600,36.0,1.385
7600,203.0,2.671
2700,38.0,1.407
7700,207.0,2.688
2800,40.0,1.429
7800,211.0,2.705
2900,42.0,1.448
7900,215.0,2.722
3000,44.0,1.467
8000,219.0,2.738
3100,46.0,1.484
8100,223.0,2.753
3200,48.0,1.5
8200,227.0,2.768
3300,50.0,1.515
8300,231.0,2.783
3400,52.0,1.529
8400,236.0,2.81
3500,55.0,1.571
8500,241.0,2.835
3600,58.0,1.611
8600,246.0,2.86
3700,61.0,1.649
8700,251.0,2.885
3800,64.0,1.684
8800,256.0,2.909
3900,67.0,1.718
8900,261.0,2.933
4000,70.0,1.75
9000,266.0,2.956
4100,73.0,1.78
9100,271.0,2.978
4200,76.0,1.81
9200,276.0,3.0
4300,79.0,1.837
9300,281.0,3.022
4400,82.0,1.864
9400,286.0,3.043
4500,85.0,1.889
9500,291.0,3.063
4600,88.0,1.913
9600,296.0,3.083
4700,91.0,1.936
9700,301.0,3.103
4800,94.0,1.958
9800,306.0,3.122
4900,97.0,1.98
9900,311.0,3.141
5000,100.0,2.0
10000,316.0,3.16
10100,321.0,3.178
15100,603.0,3.993
10200,326.0,3.196
15200,610.0,4.013
10300,331.0,3.214
15300,617.0,4.033
10400,336.0,3.231
15400,624.0,4.052
10500,341.0,3.248
15500,631.0,4.071
10600,346.0,3.264
15600,638.0,4.09
10700,351.0,3.28
15700,645.0,4.108
10800,356.0,3.296
15800,652.0,4.127
10900,361.0,3.312
15900,659.0,4.145
11000,366.0,3.327
16000,666.0,4.163
11100,371.0,3.342
16100,673.0,4.18
11200,376.0,3.357
16200,680.0,4.198
11300,381.0,3.372
16300,687.0,4.215
11400,386.0,3.386
16400,694.0,4.232
11500,391.0,3.4
16500,701.0,4.248
11600,396.0,3.414
16600,708.0,4.265
11700,401.0,3.427
16700,715.0,4.281
11800,406.0,3.441
16800,722.0,4.298
11900,411.0,3.454
16900,729.0,4.314
12000,417.0,3.475
17000,736.0,4.329
12100,423.0,3.496
17100,743.0,4.345
12200,429.0,3.516
17200,750.0,4.36
12300,435.0,3.537
17300,757.0,4.376
12400,441.0,3.556
17400,764.0,4.391
12500,447.0,3.576
17500,771.0,4.406
12600,453.0,3.595
17600,778.0,4.42
12700,459.0,3.614
17700,785.0,4.435
12800,465.0,3.633
17800,792.0,4.449
12900,471.0,3.651
17900,799.0,4.464
13000,477.0,3.669
